src_path,dst_path,reason,phase,risk
styles\style.py,design_system\styles\style.py,Consolidate styles to design_system,P1,medium
styles\syntaxhighlighter.py,design_system\styles\syntaxhighlighter.py,Consolidate styles to design_system,P1,medium
styles\__init__.py,design_system\styles\__init__.py,Consolidate styles to design_system,P1,medium
styles\components\ai_panel.py,design_system\styles\components\ai_panel.py,Consolidate styles to design_system,P1,medium
styles\components\code_editor_display_area.py,design_system\styles\components\code_editor_display_area.py,Consolidate styles to design_system,P1,medium
styles\components\config_ui.py,design_system\styles\components\config_ui.py,Consolidate styles to design_system,P1,medium
styles\components\console.py,design_system\styles\components\console.py,Consolidate styles to design_system,P1,medium
styles\components\console_colors.py,design_system\styles\components\console_colors.py,Consolidate styles to design_system,P1,medium
styles\components\editor.py,design_system\styles\components\editor.py,Consolidate styles to design_system,P1,medium
styles\components\results.py,design_system\styles\components\results.py,Consolidate styles to design_system,P1,medium
styles\components\scrollbar.py,design_system\styles\components\scrollbar.py,Consolidate styles to design_system,P1,medium
styles\components\sidebar.py,design_system\styles\components\sidebar.py,Consolidate styles to design_system,P1,medium
styles\components\sidebar_dividers.py,design_system\styles\components\sidebar_dividers.py,Consolidate styles to design_system,P1,medium
styles\components\splitter.py,design_system\styles\components\splitter.py,Consolidate styles to design_system,P1,medium
styles\components\syntax_highlighting.py,design_system\styles\components\syntax_highlighting.py,Consolidate styles to design_system,P1,medium
styles\components\__init__.py,design_system\styles\components\__init__.py,Consolidate styles to design_system,P1,medium
styles\fonts\emoji.py,design_system\styles\emoji.py,Consolidate styles to design_system,P1,medium
styles\helpers\common_styles.py,design_system\styles\common_styles.py,Consolidate styles to design_system,P1,medium
styles\helpers\inline_styles.py,design_system\styles\inline_styles.py,Consolidate styles to design_system,P1,medium
styles\helpers\__init__.py,design_system\styles\__init__.py,Consolidate styles to design_system,P1,medium
styles\components\config\button_styles.py,design_system\styles\components\config\button_styles.py,Consolidate styles to design_system,P1,medium
styles\components\config\dialog_styles.py,design_system\styles\components\config\dialog_styles.py,Consolidate styles to design_system,P1,medium
styles\components\config\input_styles.py,design_system\styles\components\config\input_styles.py,Consolidate styles to design_system,P1,medium
styles\components\config\label_styles.py,design_system\styles\components\config\label_styles.py,Consolidate styles to design_system,P1,medium
styles\components\config\__init__.py,design_system\styles\components\config\__init__.py,Consolidate styles to design_system,P1,medium
styles\components\dialogs\test_detail_styles.py,design_system\styles\components\dialogs\test_detail_styles.py,Consolidate styles to design_system,P1,medium
styles\components\inputs\input_styles.py,design_system\styles\components\inputs\input_styles.py,Consolidate styles to design_system,P1,medium
styles\components\inputs\__init__.py,design_system\styles\components\inputs\__init__.py,Consolidate styles to design_system,P1,medium
styles\components\status_view\status_cards.py,design_system\styles\components\status_view\status_cards.py,Consolidate styles to design_system,P1,medium
styles\components\status_view\status_containers.py,design_system\styles\components\status_view\status_containers.py,Consolidate styles to design_system,P1,medium
styles\components\status_view\status_widgets_styles.py,design_system\styles\components\status_view\status_widgets_styles.py,Consolidate styles to design_system,P1,medium
styles\components\status_view\__init__.py,design_system\styles\components\status_view\__init__.py,Consolidate styles to design_system,P1,medium
styles\components\test_view\test_control_styles.py,design_system\styles\components\test_view\test_control_styles.py,Consolidate styles to design_system,P1,medium
styles\components\test_view\test_editor_styles.py,design_system\styles\components\test_view\test_editor_styles.py,Consolidate styles to design_system,P1,medium
styles\components\test_view\test_tab_styles.py,design_system\styles\components\test_view\test_tab_styles.py,Consolidate styles to design_system,P1,medium
styles\components\test_view\__init__.py,design_system\styles\components\test_view\__init__.py,Consolidate styles to design_system,P1,medium
window_controller\base_window.py,_deprecated\base_window.py,Deprecate in favor of ContentWindowBase,P2,high
window_controller\window_management.py,navigation\window_manager.py,Move WindowManager to navigation package,P2,high
window_controller\__init__.py,navigation\__init__.py,Move to navigation package,P2,high
windows\benchmarker\view.py,windows\benchmarker\widgets\view.py,Move feature-local widget to benchmarker pod,P3,low
windows\comparator\view.py,windows\comparator\widgets\view.py,Move feature-local widget to comparator pod,P3,low
windows\editor\view.py,windows\editor\widgets\view.py,Move feature-local widget to editor pod,P3,low
windows\help_center\view.py,windows\help_center\widgets\view.py,Move feature-local widget to help_center pod,P3,low
windows\main\view.py,windows\main\widgets\view.py,Move feature-local widget to main pod,P3,low
windows\main\view.py,windows\main\widgets\view.py,Move feature-local widget to main pod,P3,low
windows\main\view.py,windows\main\widgets\view.py,Move feature-local widget to main pod,P3,low
windows\results\view.py,windows\results\widgets\view.py,Move feature-local widget to results pod,P3,low
windows\validator\view.py,windows\validator\widgets\view.py,Move feature-local widget to validator pod,P3,low
window_controller\*,_removed,Remove legacy window_controller directory,P4,low
styles\*,_removed,Remove legacy styles directory,P4,low
